,Unnamed: 0,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID,Year,Month,Date
415,415,PRINCE GEORGE,53.833,-122.8,BC,-15.7,0.0,,11.1,0.0,-40.6,0.0,102.7,0.0,,102.7,0.0,,,11.0,,,,1044.0,0.0,1096436,1917,12,1917-12-01
485,485,SAANICHTON CDA,48.698,-123.594,BC,2.3,0.0,-3.0,8.9,0.0,-7.2,0.0,35.2,0.0,850.0,75.5,0.0,84.0,,14.0,,,,440.3,0.0,1016940,1917,2,1917-02-01
490,490,VICTORIA GONZALES HTS,48.417,-123.317,BC,3.1,0.0,,8.3,0.0,-5.6,0.0,28.0,0.0,,53.5,0.0,,,15.0,,,,416.8,0.0,1018610,1917,2,1917-02-01
532,532,PRINCE GEORGE,53.833,-122.8,BC,-11.5,0.0,,7.2,0.0,-40.0,0.0,54.6,0.0,,54.6,0.0,,,4.0,,,,827.2,0.0,1096436,1917,2,1917-02-01
606,606,SAANICHTON CDA,48.698,-123.594,BC,3.7,0.0,-3.4,9.4,0.0,-4.4,0.0,0.0,0.0,0.0,69.2,0.0,87.0,,15.0,,,,444.3,0.0,1016940,1917,3,1917-03-01
611,611,VICTORIA GONZALES HTS,48.417,-123.317,BC,4.7,0.0,,10.0,0.0,-1.1,0.0,0.8,0.0,,67.0,0.0,,,11.0,,,,413.4,0.0,1018610,1917,3,1917-03-01
652,652,PRINCE GEORGE,53.833,-122.8,BC,-4.4,0.0,,5.6,0.0,-23.3,0.0,35.6,0.0,,35.6,0.0,,,5.0,,,,694.0,0.0,1096436,1917,3,1917-03-01
727,727,SAANICHTON CDA,48.698,-123.594,BC,7.5,0.0,-1.7,17.8,0.0,0.6,0.0,0.0,0.0,,103.9,0.0,202.0,,16.0,,,,313.9,0.0,1016940,1917,4,1917-04-01
732,732,VICTORIA GONZALES HTS,48.417,-123.317,BC,8.1,0.0,,18.3,0.0,1.7,0.0,0.0,0.0,,61.2,0.0,,,19.0,,,,297.6,0.0,1018610,1917,4,1917-04-01
772,772,PRINCE GEORGE,53.833,-122.8,BC,3.6,0.0,,15.6,0.0,-20.6,0.0,0.0,0.0,,25.7,0.0,,,5.0,,,,433.5,0.0,1096436,1917,4,1917-04-01
844,844,SAANICHTON CDA,48.698,-123.594,BC,10.7,0.0,-1.5,22.8,0.0,2.2,0.0,0.0,0.0,,17.9,0.0,43.0,,4.0,,,,226.4,0.0,1016940,1917,5,1917-05-01
849,849,VICTORIA GONZALES HTS,48.417,-123.317,BC,10.0,0.0,,16.7,0.0,4.4,0.0,0.0,0.0,,14.3,0.0,,,4.0,,,,247.9,0.0,1018610,1917,5,1917-05-01
889,889,PRINCE GEORGE,53.833,-122.8,BC,10.2,4.0,,24.4,4.0,-7.2,4.0,0.0,0.0,,23.9,0.0,,,5.0,,,,211.9,0.0,1096436,1917,5,1917-05-01
962,962,SAANICHTON CDA,48.698,-123.594,BC,13.6,0.0,-1.3,25.0,0.0,5.0,0.0,0.0,0.0,,26.9,0.0,78.0,,9.0,,,,132.3,0.0,1016940,1917,6,1917-06-01
967,967,VICTORIA GONZALES HTS,48.417,-123.317,BC,12.7,0.0,,25.6,0.0,6.1,0.0,0.0,0.0,,23.6,0.0,,,9.0,,,,160.6,0.7,1018610,1917,6,1917-06-01
1007,1007,PRINCE GEORGE,53.833,-122.8,BC,12.4,0.0,,26.1,0.0,-1.1,0.0,0.0,0.0,,,,,,,,,,168.3,0.4,1096436,1917,6,1917-06-01
1081,1081,SAANICHTON CDA,48.698,-123.594,BC,17.0,0.0,0.0,29.4,0.0,6.7,0.0,0.0,0.0,,4.6,0.0,22.0,,2.0,,,,38.1,8.0,1016940,1917,7,1917-07-01
1086,1086,VICTORIA GONZALES HTS,48.417,-123.317,BC,14.9,0.0,,27.2,0.0,9.4,0.0,0.0,0.0,,4.2,0.0,,,1.0,,,,98.3,2.1,1018610,1917,7,1917-07-01
1127,1127,PRINCE GEORGE,53.833,-122.8,BC,13.8,17.0,,27.2,17.0,4.4,17.0,0.0,0.0,,31.8,0.0,,,5.0,,,,58.8,0.0,1096436,1917,7,1917-07-01
1200,1200,SAANICHTON CDA,48.698,-123.594,BC,17.2,0.0,0.1,27.2,0.0,9.4,0.0,0.0,0.0,,11.2,0.0,42.0,,2.0,,,,31.2,5.5,1016940,1917,8,1917-08-01
1205,1205,VICTORIA GONZALES HTS,48.417,-123.317,BC,15.8,0.0,,27.8,0.0,9.4,0.0,0.0,0.0,,4.8,0.0,,,1.0,,,,72.3,4.5,1018610,1917,8,1917-08-01
1246,1246,PRINCE GEORGE,53.833,-122.8,BC,14.7,0.0,,28.3,0.0,0.0,0.0,0.0,0.0,,17.0,0.0,,,6.0,,,,103.7,1.3,1096436,1917,8,1917-08-01
1319,1319,SAANICHTON CDA,48.698,-123.594,BC,13.4,0.0,-1.1,25.0,0.0,5.6,0.0,0.0,0.0,,34.4,0.0,116.0,,7.0,,,,138.0,0.4,1016940,1917,9,1917-09-01
1324,1324,VICTORIA GONZALES HTS,48.417,-123.317,BC,13.3,0.0,,24.4,0.0,7.8,0.0,0.0,0.0,,27.1,0.0,,,9.0,,,,141.9,0.6,1018610,1917,9,1917-09-01
1365,1365,PRINCE GEORGE,53.833,-122.8,BC,10.1,0.0,,26.1,0.0,-4.4,0.0,0.0,0.0,,23.8,0.0,,,8.0,,,,237.6,0.0,1096436,1917,9,1917-09-01
1439,1439,SAANICHTON CDA,48.698,-123.594,BC,4.6,0.0,-0.2,11.7,0.0,-6.1,0.0,4.6,0.0,57.0,100.5,0.0,69.0,,15.0,,,,414.1,0.0,1016940,1918,1,1918-01-01
1444,1444,VICTORIA GONZALES HTS,48.417,-123.317,BC,5.6,0.0,,13.3,0.0,-5.0,0.0,0.0,0.0,,103.0,0.0,,,18.0,,,,384.0,0.0,1018610,1918,1,1918-01-01
1486,1486,PRINCE GEORGE,53.833,-122.8,BC,-8.0,0.0,,10.0,0.0,-47.8,0.0,73.5,0.0,,97.9,0.0,,,8.0,,,,804.7,0.0,1096436,1918,1,1918-01-01
1558,1558,SAANICHTON CDA,48.698,-123.594,BC,10.0,0.0,-0.3,17.8,0.0,3.9,0.0,0.0,0.0,0.0,69.4,0.0,75.0,,10.0,,,,246.9,0.0,1016940,1918,10,1918-10-01
1562,1562,VICTORIA GONZALES HTS,48.417,-123.317,BC,10.8,0.0,,19.4,0.0,4.4,0.0,0.0,0.0,,105.2,0.0,,,11.0,,,,223.9,0.0,1018610,1918,10,1918-10-01
1603,1603,PRINCE GEORGE,53.833,-122.8,BC,6.2,0.0,,24.4,0.0,-7.2,0.0,0.0,0.0,,52.1,0.0,,,11.0,,,,366.1,0.0,1096436,1918,10,1918-10-01
1677,1677,SAANICHTON CDA,48.698,-123.594,BC,6.1,0.0,-0.5,12.2,0.0,0.0,0.0,0.0,0.0,0.0,84.8,0.0,54.0,,13.0,,,,356.9,0.0,1016940,1918,11,1918-11-01
1681,1681,VICTORIA GONZALES HTS,48.417,-123.317,BC,7.5,0.0,,12.8,0.0,1.1,0.0,0.0,0.0,,83.5,0.0,,,14.0,,,,314.8,0.0,1018610,1918,11,1918-11-01
1724,1724,PRINCE GEORGE,53.833,-122.8,BC,-1.1,0.0,,10.6,0.0,-19.4,0.0,14.7,0.0,,15.5,0.0,,,4.0,,,,573.0,0.0,1096436,1918,11,1918-11-01
1796,1796,SAANICHTON CDA,48.698,-123.594,BC,3.9,0.0,-0.6,10.6,0.0,-1.7,0.0,2.5,0.0,37.0,174.3,0.0,123.0,,16.0,,,,437.7,0.0,1016940,1918,12,1918-12-01
1801,1801,VICTORIA GONZALES HTS,48.417,-123.317,BC,5.0,0.0,,10.6,0.0,-1.1,0.0,0.0,0.0,,181.6,0.0,,,13.0,,,,404.3,0.0,1018610,1918,12,1918-12-01
1844,1844,PRINCE GEORGE,53.833,-122.8,BC,-5.8,0.0,,6.1,0.0,-26.1,0.0,33.3,0.0,,33.3,0.0,,,6.0,,,,737.8,0.0,1096436,1918,12,1918-12-01
1917,1917,SAANICHTON CDA,48.698,-123.594,BC,3.0,0.0,-2.3,10.6,0.0,-4.4,0.0,9.2,0.0,222.0,122.0,0.0,136.0,,14.0,,,,421.1,0.0,1016940,1918,2,1918-02-01
1922,1922,VICTORIA GONZALES HTS,48.417,-123.317,BC,4.2,0.0,,11.1,0.0,-3.9,0.0,3.5,0.0,,98.3,0.0,,,16.0,,,,385.7,0.0,1018610,1918,2,1918-02-01
1963,1963,PRINCE GEORGE,53.833,-122.8,BC,-9.0,0.0,,7.8,0.0,-38.3,0.0,5.1,0.0,,9.0,0.0,,,3.0,,,,755.2,0.0,1096436,1918,2,1918-02-01
2036,2036,SAANICHTON CDA,48.698,-123.594,BC,4.9,0.0,-2.2,13.9,0.0,-5.0,0.0,22.4,0.0,######,119.2,0.0,150.0,,15.0,,,,407.4,0.0,1016940,1918,3,1918-03-01
2041,2041,VICTORIA GONZALES HTS,48.417,-123.317,BC,6.1,0.0,,15.6,0.0,-2.2,0.0,0.6,0.0,,70.9,0.0,,,14.0,,,,369.0,0.0,1018610,1918,3,1918-03-01
2082,2082,PRINCE GEORGE,53.833,-122.8,BC,-3.4,0.0,,12.2,0.0,-37.2,0.0,28.0,0.0,,44.3,0.0,,,8.0,,,,662.5,0.0,1096436,1918,3,1918-03-01
2155,2155,SAANICHTON CDA,48.698,-123.594,BC,8.7,0.0,-0.5,20.6,0.0,-0.6,0.0,0.0,0.0,,5.3,0.0,10.0,,2.0,,,,278.5,0.0,1016940,1918,4,1918-04-01
2160,2160,VICTORIA GONZALES HTS,48.417,-123.317,BC,9.4,0.0,,21.1,0.0,0.6,0.0,0.5,0.0,,9.0,0.0,,,4.0,,,,258.6,0.0,1018610,1918,4,1918-04-01
2202,2202,PRINCE GEORGE,53.833,-122.8,BC,5.3,0.0,,23.3,0.0,-12.8,0.0,0.8,0.0,,1.6,0.0,,,0.0,,,,381.5,0.0,1096436,1918,4,1918-04-01
2275,2275,SAANICHTON CDA,48.698,-123.594,BC,11.3,0.0,-1.0,23.9,0.0,1.7,0.0,0.0,0.0,,11.1,0.0,27.0,,3.0,,,,208.4,0.0,1016940,1918,5,1918-05-01
2280,2280,VICTORIA GONZALES HTS,48.417,-123.317,BC,11.2,0.0,,20.6,0.0,5.0,0.0,0.0,0.0,,18.0,0.0,,,5.0,,,,209.3,0.0,1018610,1918,5,1918-05-01
2322,2322,PRINCE GEORGE,53.833,-122.8,BC,8.7,0.0,,24.4,0.0,-4.4,0.0,0.0,0.0,,9.8,0.0,,,4.0,,,,288.6,0.0,1096436,1918,5,1918-05-01
2395,2395,SAANICHTON CDA,48.698,-123.594,BC,16.0,0.0,1.0,27.8,0.0,2.8,0.0,0.0,0.0,,11.4,0.0,33.0,,2.0,,,,64.7,3.3,1016940,1918,6,1918-06-01
2400,2400,VICTORIA GONZALES HTS,48.417,-123.317,BC,14.4,0.0,,26.7,0.0,5.6,0.0,0.0,0.0,,8.4,0.0,,,2.0,,,,109.4,2.5,1018610,1918,6,1918-06-01
2441,2441,PRINCE GEORGE,53.833,-122.8,BC,13.1,0.0,,28.3,0.0,-3.3,0.0,0.0,0.0,,51.6,0.0,,,9.0,,,,148.5,0.1,1096436,1918,6,1918-06-01
2514,2514,SAANICHTON CDA,48.698,-123.594,BC,17.1,0.0,0.0,28.9,0.0,6.7,0.0,0.0,0.0,,24.3,0.0,119.0,,5.0,,,,45.0,15.9,1016940,1918,7,1918-07-01
2519,2519,VICTORIA GONZALES HTS,48.417,-123.317,BC,15.0,0.0,,26.1,0.0,7.8,0.0,0.0,0.0,,12.2,0.0,,,4.0,,,,95.5,1.5,1018610,1918,7,1918-07-01
2559,2559,PRINCE GEORGE,53.833,-122.8,BC,14.2,9.0,,31.1,9.0,-1.7,9.0,0.0,0.0,,13.2,0.0,,,5.0,,,,86.7,3.6,1096436,1918,7,1918-07-01
2633,2633,SAANICHTON CDA,48.698,-123.594,BC,15.9,0.0,-1.2,25.0,0.0,7.2,0.0,0.0,0.0,,35.8,0.0,135.0,,8.0,,,,69.1,3.8,1016940,1918,8,1918-08-01
2637,2637,VICTORIA GONZALES HTS,48.417,-123.317,BC,15.4,0.0,,26.7,0.0,9.4,0.0,0.0,0.0,,45.2,0.0,,,11.0,,,,87.3,5.5,1018610,1918,8,1918-08-01
2678,2678,PRINCE GEORGE,53.833,-122.8,BC,14.6,0.0,,27.8,0.0,3.3,0.0,0.0,0.0,,77.0,0.0,,,13.0,,,,104.5,0.0,1096436,1918,8,1918-08-01
2751,2751,SAANICHTON CDA,48.698,-123.594,BC,15.2,0.0,0.7,27.2,0.0,5.0,0.0,0.0,0.0,,4.1,0.0,14.0,,1.0,,,,92.4,9.8,1016940,1918,9,1918-09-01
2755,2755,VICTORIA GONZALES HTS,48.417,-123.317,BC,15.6,0.0,,28.3,0.0,6.7,0.0,0.0,0.0,,2.6,0.0,,,1.0,,,,87.6,15.4,1018610,1918,9,1918-09-01
2796,2796,PRINCE GEORGE,53.833,-122.8,BC,11.5,0.0,,28.9,0.0,-3.9,0.0,0.0,0.0,,1.0,0.0,,,1.0,,,,194.6,0.0,1096436,1918,9,1918-09-01
2870,2870,SAANICHTON CDA,48.698,-123.594,BC,4.2,0.0,-0.6,11.1,0.0,-2.2,0.0,0.0,0.0,0.0,113.0,0.0,78.0,,15.0,,,,426.5,0.0,1016940,1919,1,1919-01-01
2875,2875,VICTORIA GONZALES HTS,48.417,-123.317,BC,5.2,0.0,,11.1,0.0,0.6,0.0,0.0,0.0,,147.8,0.0,,,14.0,,,,396.2,0.0,1018610,1919,1,1919-01-01
2917,2917,PRINCE GEORGE,53.833,-122.8,BC,-4.1,0.0,,9.4,0.0,-19.4,0.0,19.0,0.0,,19.0,0.0,,,2.0,,,,686.2,0.0,1096436,1919,1,1919-01-01
2991,2991,SAANICHTON CDA,48.698,-123.594,BC,7.7,0.0,-2.7,16.7,0.0,-1.1,0.0,0.0,0.0,0.0,38.6,0.0,42.0,,10.0,,,,320.3,0.0,1016940,1919,10,1919-10-01
2996,2996,VICTORIA GONZALES HTS,48.417,-123.317,BC,9.0,0.0,,19.4,0.0,-0.6,0.0,0.0,0.0,,33.1,0.0,,,9.0,,,,278.3,0.0,1018610,1919,10,1919-10-01
3040,3040,PRINCE GEORGE,53.833,-122.8,BC,1.6,0.0,,20.6,0.0,-17.2,0.0,44.9,0.0,,97.7,0.0,,,11.0,,,,508.5,0.0,1096436,1919,10,1919-10-01
3113,3113,SAANICHTON CDA,48.698,-123.594,BC,5.2,0.0,-1.4,13.3,0.0,-2.2,0.0,10.2,0.0,######,150.9,0.0,97.0,,16.0,,,,383.2,0.0,1016940,1919,11,1919-11-01
3118,3118,VICTORIA GONZALES HTS,48.417,-123.317,BC,6.0,0.0,,12.8,0.0,-1.1,0.0,0.5,0.0,,140.6,0.0,,,16.0,,,,359.0,0.0,1018610,1919,11,1919-11-01
3161,3161,PRINCE GEORGE,53.833,-122.8,BC,-7.6,0.0,,10.6,0.0,-30.0,0.0,142.2,0.0,,152.4,0.0,,,9.0,,,,769.3,0.0,1096436,1919,11,1919-11-01
3234,3234,SAANICHTON CDA,48.698,-123.594,BC,2.4,0.0,-2.1,11.1,0.0,-10.0,0.0,2.5,0.0,37.0,111.5,0.0,79.0,,12.0,,,,484.8,0.0,1016940,1919,12,1919-12-01
3239,3239,VICTORIA GONZALES HTS,48.417,-123.317,BC,3.4,0.0,,11.7,0.0,-8.9,0.0,0.3,0.0,,121.9,0.0,,,12.0,,,,453.9,0.0,1018610,1919,12,1919-12-01
3282,3282,PRINCE GEORGE,53.833,-122.8,BC,-7.7,0.0,,12.8,0.0,-37.8,0.0,53.3,0.0,,54.8,0.0,,,4.0,,,,796.7,0.0,1096436,1919,12,1919-12-01
3356,3356,SAANICHTON CDA,48.698,-123.594,BC,3.4,0.0,-1.9,10.6,0.0,-3.3,0.0,6.6,0.0,159.0,102.0,0.0,114.0,,14.0,,,,409.0,0.0,1016940,1919,2,1919-02-01
3361,3361,VICTORIA GONZALES HTS,48.417,-123.317,BC,4.6,0.0,,10.6,0.0,-2.8,0.0,0.3,0.0,,70.0,0.0,,,15.0,,,,376.5,0.0,1018610,1919,2,1919-02-01
3403,3403,PRINCE GEORGE,53.833,-122.8,BC,-10.9,0.0,,8.3,0.0,-35.0,0.0,15.5,0.0,,15.5,0.0,,,4.0,,,,809.4,0.0,1096436,1919,2,1919-02-01
3477,3477,SAANICHTON CDA,48.698,-123.594,BC,5.6,0.0,-1.5,16.7,0.0,-1.7,0.0,6.4,0.0,337.0,87.0,0.0,110.0,,14.0,,,,385.5,0.0,1016940,1919,3,1919-03-01
3482,3482,VICTORIA GONZALES HTS,48.417,-123.317,BC,6.7,0.0,,17.2,0.0,0.0,0.0,0.0,0.0,,58.9,0.0,,,13.0,,,,350.8,0.0,1018610,1919,3,1919-03-01
3523,3523,PRINCE GEORGE,53.833,-122.8,BC,-5.8,0.0,,15.6,0.0,-34.4,0.0,68.8,0.0,,68.8,0.0,,,8.0,,,,739.3,0.0,1096436,1919,3,1919-03-01
3596,3596,SAANICHTON CDA,48.698,-123.594,BC,8.2,0.0,-1.0,16.1,0.0,0.0,0.0,0.0,0.0,,52.2,0.0,101.0,,10.0,,,,293.4,0.0,1016940,1919,4,1919-04-01
3601,3601,VICTORIA GONZALES HTS,48.417,-123.317,BC,9.5,0.0,,19.4,0.0,2.8,0.0,0.0,0.0,,73.8,0.0,,,11.0,,,,256.2,0.0,1018610,1919,4,1919-04-01
3643,3643,PRINCE GEORGE,53.833,-122.8,BC,5.3,0.0,,23.3,0.0,-9.4,0.0,0.0,0.0,,13.5,0.0,,,4.0,,,,380.1,0.0,1096436,1919,4,1919-04-01
3716,3716,SAANICHTON CDA,48.698,-123.594,BC,11.0,0.0,-1.2,21.7,0.0,2.2,0.0,0.0,0.0,,27.7,0.0,67.0,,7.0,,,,217.3,0.0,1016940,1919,5,1919-05-01
3721,3721,VICTORIA GONZALES HTS,48.417,-123.317,BC,11.3,0.0,,20.6,0.0,4.4,0.0,0.0,0.0,,20.2,0.0,,,6.0,,,,209.0,0.0,1018610,1919,5,1919-05-01
3764,3764,PRINCE GEORGE,53.833,-122.8,BC,8.7,0.0,,23.9,0.0,-11.1,0.0,0.0,0.0,,32.3,0.0,,,7.0,,,,286.9,0.0,1096436,1919,5,1919-05-01
3836,3836,SAANICHTON CDA,48.698,-123.594,BC,13.5,0.0,-1.4,24.4,0.0,3.3,0.0,0.0,0.0,,19.6,0.0,57.0,,4.0,,,,135.8,0.0,1016940,1919,6,1919-06-01
3841,3841,VICTORIA GONZALES HTS,48.417,-123.317,BC,12.5,0.0,,21.1,0.0,6.1,0.0,0.0,0.0,,13.5,0.0,,,3.0,,,,165.6,0.0,1018610,1919,6,1919-06-01
3884,3884,PRINCE GEORGE,53.833,-122.8,BC,11.7,0.0,,27.2,0.0,0.6,0.0,0.0,0.0,,74.9,0.0,,,14.0,,,,189.6,0.0,1096436,1919,6,1919-06-01
3956,3956,SAANICHTON CDA,48.698,-123.594,BC,16.3,0.0,-0.7,29.4,0.0,7.2,0.0,0.0,0.0,,6.9,0.0,34.0,,1.0,,,,57.7,6.0,1016940,1919,7,1919-07-01
3961,3961,VICTORIA GONZALES HTS,48.417,-123.317,BC,14.8,0.0,,29.4,0.0,8.3,0.0,0.0,0.0,,0.5,0.0,,,0.0,,,,103.3,3.2,1018610,1919,7,1919-07-01
4003,4003,PRINCE GEORGE,53.833,-122.8,BC,15.5,0.0,,31.1,0.0,2.2,0.0,0.0,0.0,,30.0,0.0,,,6.0,,,,83.2,5.5,1096436,1919,7,1919-07-01
4076,4076,SAANICHTON CDA,48.698,-123.594,BC,16.0,0.0,-1.1,29.4,0.0,4.4,0.0,0.0,0.0,,1.5,0.0,6.0,,1.0,,,,69.1,7.1,1016940,1919,8,1919-08-01
4081,4081,VICTORIA GONZALES HTS,48.417,-123.317,BC,15.0,0.0,,26.7,0.0,8.9,0.0,0.0,0.0,,8.7,0.0,,,2.0,,,,96.4,1.9,1018610,1919,8,1919-08-01
4123,4123,PRINCE GEORGE,53.833,-122.8,BC,14.8,0.0,,28.9,0.0,-1.1,0.0,0.0,0.0,,43.5,0.0,,,5.0,,,,103.6,3.0,1096436,1919,8,1919-08-01
4196,4196,SAANICHTON CDA,48.698,-123.594,BC,13.9,0.0,-0.7,24.4,0.0,3.9,0.0,0.0,0.0,,47.0,0.0,159.0,,5.0,,,,123.8,0.0,1016940,1919,9,1919-09-01
4201,4201,VICTORIA GONZALES HTS,48.417,-123.317,BC,14.3,0.0,,27.2,0.0,5.6,0.0,0.0,0.0,,34.3,0.0,,,7.0,,,,112.3,1.6,1018610,1919,9,1919-09-01
4244,4244,PRINCE GEORGE,53.833,-122.8,BC,11.9,0.0,,28.3,0.0,-8.9,0.0,0.0,0.0,,26.3,0.0,,,5.0,,,,184.2,0.0,1096436,1919,9,1919-09-01
4318,4318,SAANICHTON CDA,48.698,-123.594,BC,2.9,0.0,-1.9,12.2,0.0,-5.0,0.0,10.7,0.0,132.0,83.2,0.0,57.0,,9.0,,,,469.0,0.0,1016940,1920,1,1920-01-01
4323,4323,VICTORIA GONZALES HTS,48.417,-123.317,BC,4.0,0.0,,11.7,0.0,-3.9,0.0,1.6,0.0,,141.0,0.0,,,11.0,,,,433.0,0.0,1018610,1920,1,1920-01-01
4366,4366,PRINCE GEORGE,53.833,-122.8,BC,-13.8,0.0,,5.6,0.0,-41.7,0.0,99.9,0.0,,101.4,0.0,,,7.0,,,,986.9,0.0,1096436,1920,1,1920-01-01
4440,4440,SAANICHTON CDA,48.698,-123.594,BC,8.2,0.0,-2.1,13.9,0.0,1.7,0.0,0.0,0.0,0.0,102.3,0.0,110.0,,16.0,,,,302.7,0.0,1016940,1920,10,1920-10-01
4445,4445,VICTORIA GONZALES HTS,48.417,-123.317,BC,9.2,0.0,,15.0,0.0,2.8,0.0,0.0,0.0,,102.5,0.0,,,14.0,,,,272.4,0.0,1018610,1920,10,1920-10-01
4486,4486,PRINCE GEORGE,53.833,-122.8,BC,5.3,0.0,,18.3,0.0,-5.6,0.0,10.2,0.0,,93.6,0.0,,,14.0,,,,392.2,0.0,1096436,1920,10,1920-10-01
4560,4560,SAANICHTON CDA,48.698,-123.594,BC,6.7,0.0,0.0,13.3,0.0,-0.6,0.0,0.0,0.0,0.0,84.2,0.0,54.0,,12.0,,,,340.3,0.0,1016940,1920,11,1920-11-01
4565,4565,VICTORIA GONZALES HTS,48.417,-123.317,BC,7.9,0.0,,14.4,0.0,1.7,0.0,0.0,0.0,,79.2,0.0,,,12.0,,,,303.5,0.0,1018610,1920,11,1920-11-01
4607,4607,PRINCE GEORGE,53.833,-122.8,BC,0.1,0.0,,11.1,0.0,-16.7,0.0,7.6,0.0,,15.3,0.0,,,4.0,,,,536.5,0.0,1096436,1920,11,1920-11-01
4681,4681,SAANICHTON CDA,48.698,-123.594,BC,4.6,0.0,0.2,10.0,0.0,-2.2,0.0,0.0,0.0,0.0,93.4,0.0,66.0,,20.0,,,,414.5,0.0,1016940,1920,12,1920-12-01
4686,4686,VICTORIA GONZALES HTS,48.417,-123.317,BC,5.9,0.0,,10.6,0.0,0.0,0.0,0.0,0.0,,117.9,0.0,,,18.0,,,,374.4,0.0,1018610,1920,12,1920-12-01
4728,4728,PRINCE GEORGE,53.833,-122.8,BC,-5.3,0.0,,6.7,0.0,-21.1,0.0,47.0,0.0,,47.0,0.0,,,8.0,,,,723.1,0.0,1096436,1920,12,1920-12-01
4801,4801,SAANICHTON CDA,48.698,-123.594,BC,4.0,0.0,-1.3,11.7,0.0,-1.7,0.0,0.0,0.0,0.0,15.6,0.0,17.0,,3.0,,,,407.4,0.0,1016940,1920,2,1920-02-01
4806,4806,VICTORIA GONZALES HTS,48.417,-123.317,BC,5.4,0.0,,11.7,0.0,0.0,0.0,0.0,0.0,,15.8,0.0,,,3.0,,,,366.5,0.0,1018610,1920,2,1920-02-01
4849,4849,PRINCE GEORGE,53.833,-122.8,BC,-6.2,0.0,,7.2,0.0,-30.0,0.0,0.0,0.0,,2.5,0.0,,,2.0,,,,702.7,0.0,1096436,1920,2,1920-02-01
4924,4924,SAANICHTON CDA,48.698,-123.594,BC,5.3,0.0,-1.8,13.3,0.0,-3.3,0.0,0.0,0.0,0.0,59.1,0.0,74.0,,15.0,,,,393.9,0.0,1016940,1920,3,1920-03-01
4929,4929,VICTORIA GONZALES HTS,48.417,-123.317,BC,6.8,0.0,,15.0,0.0,0.0,0.0,1.0,0.0,,58.3,0.0,,,10.0,,,,348.1,0.0,1018610,1920,3,1920-03-01
4973,4973,PRINCE GEORGE,53.833,-122.8,BC,-2.4,0.0,,13.3,0.0,-27.2,0.0,17.8,0.0,,17.8,0.0,,,5.0,,,,632.5,0.0,1096436,1920,3,1920-03-01
